gene,pval,mean_leve,mean_grave,log2fc,log2fc_div
USP49,0.415552342432449,3.9844374275416667,3.864201864942529,-0.035227580863375074,-0.04420557878417089
RPS19BP1,0.4155590011863304,7.714363394303571,7.649058120344828,-0.010852243500333092,-0.012264997382696988
DNASE1,0.4155751293001857,5.205306658408164,5.135393986344829,-0.01634651828203859,-0.019508194966945096
PDE1A,0.4155926193943522,2.43873221075,2.491169780369458,0.021833747622518995,0.030691999554291364
PDZD4,0.41559751286382884,6.6248879338035715,6.503591195413793,-0.02313490357070247,-0.026659475301587934
HSD3B7,0.4156644627060644,4.497134926982143,4.420296790655173,-0.020308041586703407,-0.02486293034977727
LAMA1,0.4156695001354326,2.3296196744374997,2.2741242988275863,-0.02424830165826153,-0.03478333370843083
BPIL2,0.41573860313574995,2.302812047089286,2.376807575827586,0.03196509847467266,0.04562844393320948
CDK5RAP1,0.4157694600036881,7.470271395607142,7.374234226172414,-0.016450925005573325,-0.0186674160391568
R3HDM2,0.41578855095934686,9.097231934696428,9.149752980310344,0.007484770924931272,0.008305159636643586
HIST1H2BI,0.41582800453677715,6.03941291625,5.942094969310345,-0.02008401211560562,-0.023436650614943363
PIGN,0.4159301043017468,5.461925960464286,5.577970404827586,0.02567829674036748,0.030330522166677837
HIST1H4C,0.41595085153858025,5.003269225053572,4.877819289862069,-0.030467364253753626,-0.036634774452962836
